                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5893,                 6.5894,                 1.2126,                0.00281,                 0.6496,                0.01165,                0.00707,                0.86287,                 4.1946,                0.95506,              0.0033266,              0.0033266,              0.0033266
                      1,                0.98364,                 4.9558,                0.95191,                0.01026,                 0.9017,                0.04786,                0.04266,                0.55531,                  3.512,                0.83761,               0.006616,               0.006616,               0.006616
                      2,                0.89997,                 4.3791,                0.94084,                0.44458,                0.20263,                0.13021,                0.11979,                0.50802,                 3.1983,                0.83921,              0.0098614,              0.0098614,              0.0098614
                      3,                0.85586,                  3.752,                0.93714,                0.48246,                0.46151,                0.49634,                0.45717,                0.45293,                 2.3291,                 0.8296,               0.009802,               0.009802,               0.009802
                      4,                0.78617,                 2.9232,                0.91957,                0.58974,                0.65034,                0.74581,                 0.7009,                 0.3997,                 1.7155,                0.81694,               0.009802,               0.009802,               0.009802
                      5,                 0.7113,                 2.1977,                0.89914,                0.75394,                0.77831,                0.92438,                0.87865,                 0.3648,                 1.0964,                0.80534,               0.009736,               0.009736,               0.009736
                      6,                  0.671,                 1.7176,                0.88229,                0.75586,                0.81571,                0.92658,                0.87764,                0.36467,                 1.0399,                0.80191,                0.00967,                0.00967,                0.00967
                      7,                0.64244,                 1.4583,                0.87386,                 0.6857,                0.82742,                0.92083,                0.85387,                 0.4155,                 1.0993,                0.81747,               0.009604,               0.009604,               0.009604
                      8,                0.61921,                 1.2626,                 0.8684,                0.88115,                0.86488,                 0.9728,                0.93336,                 0.3306,                0.68417,                 0.7948,               0.009538,               0.009538,               0.009538
                      9,                0.59057,                 1.0959,                0.86201,                0.87405,                0.91385,                0.98162,                0.95159,                0.31326,                0.60591,                0.79047,               0.009472,               0.009472,               0.009472
                     10,                0.57785,                 1.0299,                0.85936,                0.89348,                0.91087,                0.98293,                0.94725,                0.30538,                0.55723,                0.79017,               0.009406,               0.009406,               0.009406
                     11,                  0.565,                0.99435,                0.85694,                0.90695,                0.93324,                0.98728,                0.95731,                0.29537,                0.50259,                0.78614,                0.00934,                0.00934,                0.00934
                     12,                0.55485,                0.91645,                0.85334,                0.89525,                 0.9373,                0.99069,                0.96775,                0.27273,                0.47486,                0.77906,               0.009274,               0.009274,               0.009274
                     13,                0.54232,                0.89758,                0.85348,                0.89183,                0.96063,                0.98998,                0.97518,                0.25912,                0.44947,                0.77815,               0.009208,               0.009208,               0.009208
                     14,                0.53157,                0.84517,                0.85036,                0.91643,                0.95459,                0.99052,                0.97711,                0.24877,                0.44762,                0.77884,               0.009142,               0.009142,               0.009142
                     15,                0.52006,                0.81617,                0.84753,                 0.8949,                0.95786,                0.98975,                0.97755,                0.23955,                0.44783,                0.77359,               0.009076,               0.009076,               0.009076
                     16,                0.50675,                 0.7878,                0.84251,                0.91495,                0.94614,                0.98961,                0.97837,                0.24741,                0.43152,                0.77644,                0.00901,                0.00901,                0.00901
                     17,                0.50766,                0.77406,                0.84269,                0.91069,                 0.9456,                0.98688,                0.97559,                0.22923,                0.41016,                0.77311,               0.008944,               0.008944,               0.008944
                     18,                0.50056,                0.76026,                0.84226,                0.93868,                0.96241,                0.99272,                0.98425,                0.21769,                0.35499,                0.77062,               0.008878,               0.008878,               0.008878
                     19,                0.48656,                0.73178,                0.83476,                0.93859,                0.95569,                0.99222,                0.98065,                0.22525,                0.36611,                0.77312,               0.008812,               0.008812,               0.008812
                     20,                0.49177,                0.73008,                0.84038,                0.93572,                0.94227,                0.98919,                0.96909,                0.25114,                0.39473,                0.78113,               0.008746,               0.008746,               0.008746
                     21,                0.47857,                 0.7153,                0.83458,                0.94414,                 0.9513,                0.99203,                0.97976,                0.21761,                0.36008,                0.77186,                0.00868,                0.00868,                0.00868
                     22,                0.47942,                0.70106,                  0.834,                0.94412,                0.95469,                0.99244,                0.98065,                0.22727,                0.35993,                0.77492,               0.008614,               0.008614,               0.008614
